رقم الطلب,تاريخ الاستلام,الإدارة الطالبة,نوع الخدمة,الحالة,أيام المعالجة,الأولوية
REQ-2026-0101,2026-01-04,الشؤون المالية,صيانة أجهزة,منجز,3,عادية
REQ-2026-0102,2026-01-04,الموارد البشرية,طلب صلاحية نظام,منجز,1,عاجلة
REQ-2026-0103,2026-01-05,العمليات,نقل أثاث,منجز,6,منخفضة
REQ-2026-0104,2026-01-06,الاتصال المؤسسي,طلب صلاحية نظام,منجز,2,عادية
REQ-2026-0105,2026-01-07,تقنية المعلومات,صيانة أجهزة,منجز,1,عاجلة
REQ-2026-0106,2026-01-08,الشؤون القانونية,طباعة وتجليد,منجز,4,عادية
REQ-2026-0107,2026-01-11,العمليات,صيانة أجهزة,معلّق,14,عادية
REQ-2026-0108,2026-01-12,الشؤون المالية,طلب صلاحية نظام,منجز,2,عادية
REQ-2026-0109,2026-01-13,الموارد البشرية,حجز قاعة,منجز,1,عاجلة
REQ-2026-0110,2026-01-14,خدمات المستفيدين,صيانة أجهزة,منجز,5,عادية
REQ-2026-0111,2026-01-15,الاتصال المؤسسي,طباعة وتجليد,منجز,3,منخفضة
REQ-2026-0112,2026-01-18,العمليات,طلب صلاحية نظام,قيد المعالجة,9,عادية
REQ-2026-0113,2026-01-19,الشؤون القانونية,نقل أثاث,منجز,7,منخفضة
REQ-2026-0114,2026-01-20,تقنية المعلومات,حجز قاعة,منجز,1,عادية
REQ-2026-0115,2026-01-21,خدمات المستفيدين,صيانة أجهزة,معلّق,17,عاجلة
REQ-2026-0116,2026-01-22,الشؤون المالية,طباعة وتجليد,منجز,2,عادية
REQ-2026-0117,2026-01-25,الموارد البشرية,طلب صلاحية نظام,منجز,3,عادية
REQ-2026-0118,2026-01-26,العمليات,حجز قاعة,منجز,1,عاجلة
REQ-2026-0119,2026-01-27,الاتصال المؤسسي,صيانة أجهزة,قيد المعالجة,8,عادية
REQ-2026-0120,2026-01-28,خدمات المستفيدين,نقل أثاث,منجز,5,منخفضة
REQ-2026-0121,2026-02-01,تقنية المعلومات,طلب صلاحية نظام,منجز,1,عاجلة
REQ-2026-0122,2026-02-02,الشؤون القانونية,صيانة أجهزة,منجز,4,عادية
REQ-2026-0123,2026-02-03,الشؤون المالية,حجز قاعة,منجز,2,عادية
REQ-2026-0124,2026-02-04,العمليات,طباعة وتجليد,معلّق,12,منخفضة
REQ-2026-0125,2026-02-05,الموارد البشرية,صيانة أجهزة,منجز,3,عادية
REQ-2026-0126,2026-02-08,خدمات المستفيدين,طلب صلاحية نظام,قيد المعالجة,6,عاجلة
REQ-2026-0127,2026-02-09,الاتصال المؤسسي,حجز قاعة,منجز,1,عادية
REQ-2026-0128,2026-02-10,تقنية المعلومات,نقل أثاث,منجز,8,منخفضة
REQ-2026-0129,2026-02-11,الشؤون القانونية,طلب صلاحية نظام,منجز,2,عادية
REQ-2026-0130,2026-02-12,الشؤون المالية,صيانة أجهزة,معلّق,15,عادية
REQ-2026-0131,2026-02-15,العمليات,طباعة وتجليد,منجز,3,عادية
REQ-2026-0132,2026-02-16,خدمات المستفيدين,حجز قاعة,منجز,1,عاجلة
REQ-2026-0133,2026-02-17,الموارد البشرية,نقل أثاث,منجز,9,منخفضة
REQ-2026-0134,2026-02-18,تقنية المعلومات,طباعة وتجليد,منجز,2,عادية
REQ-2026-0135,2026-02-19,الاتصال المؤسسي,طلب صلاحية نظام,قيد المعالجة,7,عادية
