Date,Vendor,Category,Amount (SAR),VAT (15%),Notes
2025-10-01,Uber * Trip 284J,Transport,45.0,5.87,Ride to client meeting
2025-10-01,Starbucks,Meals,28.0,3.65,Coffee
2025-10-02,Hilton Riyadh Hotel,Travel,850.0,110.87,Room night
2025-10-02,Uber,Transport,32.0,4.17,
2025-10-03,Flynas XY123,Travel,450.0,58.7,Flight RUH-JED
2025-10-03,Dominos Pizza,Meals,65.0,8.48,Late night dinner
2025-10-04,Careem,Transport,42.0,5.48,to airport
2025-10-05,Jarir Bookstore,Office Supplies,120.0,15.65,Notebooks and pens
2025-10-06,STC Pay * Recharge,Utilities,100.0,13.04,Mobile data
2025-10-07,Uber * Trip 999A,Transport,55.0,7.17,Client visit
2025-10-08,Al Baik,Meals,18.0,2.35,Lunch
2025-10-09,SAPTCO,Travel,85.0,11.09,Bus ticket
2025-10-10,Unknown Vendor,Misc,25.0,3.26,Cash for tea
2025-10-11,HungerStation * BurgerKi,Meals,75.0,9.78,Team lunch
2025-10-12,Flynas,Travel,1250.0,163.04,Flight JED-RUH
2025-10-13,Uber,Transport,60.0,7.83,
2025-10-14,Starbucks Coffee,Meals,35.0,4.57,Meeting w/ client
2025-10-15,Extra Stores,Office Supplies,2400.0,313.04,Monitor for office
2025-10-15,Extra Stores,Office Supplies,2400.0,313.04,Monitor for office
2025-10-16,Dunkin Donuts,Meals,15.0,1.96,Donut
2025-10-17,Careem * Ride,Transport,38.0,4.96,
2025-10-18,Panda Supermarket,Office Supplies,45.0,5.87,Breakroom snacks
2025-10-19,Saudi Airlines,Travel,980.0,127.83,Flight RUH-DMM
2025-10-20,Uber,Transport,25.0,3.26,Short trip
2025-10-21,McDonalds,Meals,30.0,3.91,Quick lunch
2025-10-22,Jarir Book,Office Supplies,85.0,11.09,Presenter clicker
2025-10-23,Costa Coffee,Meals,29.0,3.78,Airport coffee
2025-10-24,Uber * Trip 111B,Transport,110.0,14.35,Airport to hotel
2025-10-25,Hyatt Regency,Travel,1200.0,156.52,Conf stay
2025-10-26,Al Baik,Meals,68.29,8.91,Client snack
2025-10-26,Flynas XY123,Travel,1319.85,172.15,Train ticket
2025-10-27,Extra Stores,Office Supplies,208.77,27.23,Paper
2025-10-27,Dunkin Donuts,Meals,61.93,8.08,Coffee
2025-10-28,Dominos Pizza,Meals,68.23,8.9,Team dinner
2025-10-28,Costa Coffee,Meals,58.14,7.58,Coffee
2025-10-29,Flynas XY123,Travel,460.84,60.11,Train ticket
2025-10-29,Uber,Transport,35.06,4.57,Uber ride
2025-10-30,Al Baik,Meals,73.38,9.57,Client snack
2025-10-30,Starbucks,Meals,15.3,2.0,Coffee
2025-10-31,Jarir Bookstore,Office Supplies,143.58,18.73,Paper
2025-10-31,STC Pay * Recharge,Utilities,130.93,17.08,Water
2025-11-01,Dunkin Donuts,Meals,23.65,3.08,Lunch
2025-11-01,Jarir Bookstore,Office Supplies,51.82,6.76,Office equipment
2025-11-02,Flynas XY123,Travel,639.07,83.36,Bus fare
2025-11-02,Panda Supermarket,Office Supplies,257.89,33.64,Paper
2025-11-03,Starbucks,Meals,31.6,4.12,Coffee
2025-11-03,Saudi Airlines,Travel,674.4,87.97,Bus fare
2025-11-04,Al Baik,Meals,61.15,7.98,Lunch
2025-11-04,Panda Supermarket,Office Supplies,271.16,35.37,Stationery
2025-11-05,Hilton Riyadh Hotel,Travel,1044.81,136.28,Hotel stay
2025-11-05,Uber * Trip 284J,Transport,109.5,14.28,Ride to airport
2025-11-06,Uber * Trip 284J,Transport,42.06,5.49,Ride to airport
2025-11-06,Flynas,Travel,1442.45,188.15,Hotel stay
2025-11-07,Hyatt Regency,Travel,942.25,122.9,Flight booking
2025-11-07,Jarir Book,Office Supplies,272.03,35.48,Office equipment
2025-11-08,Costa Coffee,Meals,58.51,7.63,Team dinner
2025-11-08,Careem * Ride,Transport,43.02,5.61,Careem to office
2025-11-09,Flynas,Travel,1069.94,139.56,Hotel stay
2025-11-09,Uber * Trip 284J,Transport,61.36,8.0,Careem to office
2025-11-10,Saudi Airlines,Travel,1401.67,182.83,Hotel stay
2025-11-10,Flynas,Travel,563.18,73.46,Flight booking
2025-11-11,Hyatt Regency,Travel,624.35,81.44,Train ticket
2025-11-11,Hilton Riyadh Hotel,Travel,1242.5,162.07,Train ticket
2025-11-12,Uber * Trip 999A,Transport,21.65,2.82,Taxi to meeting
2025-11-12,Saudi Airlines,Travel,596.06,77.75,Train ticket
2025-11-13,Uber * Trip 284J,Transport,103.13,13.45,Careem to office
2025-11-13,SAPTCO,Travel,599.22,78.16,Train ticket
2025-11-14,Panda Supermarket,Office Supplies,279.4,36.44,Paper
2025-11-14,Uber * Trip 111B,Transport,51.09,6.66,Uber ride
2025-11-15,Uber,Transport,25.89,3.38,Careem to office
2025-11-15,Saudi Airlines,Travel,1191.41,155.4,Flight booking
2025-11-16,Uber,Transport,63.18,8.24,Ride to airport
2025-11-16,Hilton Riyadh Hotel,Travel,780.93,101.86,Flight booking
2025-11-17,Panda Supermarket,Office Supplies,95.18,12.41,Paper
2025-11-17,SAPTCO,Travel,1002.76,130.79,Hotel stay
2025-11-18,STC Pay * Recharge,Utilities,120.46,15.71,Internet
2025-11-18,Hilton Riyadh Hotel,Travel,1052.95,137.34,Train ticket
2025-11-19,Dominos Pizza,Meals,66.41,8.66,Client snack
2025-11-19,Careem * Ride,Transport,41.74,5.44,Taxi to meeting
2025-11-20,Jarir Book,Office Supplies,197.75,25.79,Paper
2025-11-20,Starbucks,Meals,68.98,9.0,Team dinner
2025-11-21,Flynas,Travel,698.26,91.08,Train ticket
2025-11-21,Uber * Trip 999A,Transport,65.02,8.48,Careem to office
2025-11-22,Starbucks,Meals,69.37,9.05,Team dinner
